year,country,soft_comp
2020,ARG,8.166801282350837
2020,AUT,5.582015861499534
2020,AUS,21.104367483712444
2020,BGD,26.979850151670114
2020,BEL,6.1551921508138925
2020,BGR,1.1455427817164194
2020,BRA,50.11498219609965
2020,BLR,4.1277612940070405
2020,CAN,37.47809526030719
2020,CHE,13.419018482909095
2020,CHN,60.60613683395586
2020,COL,5.921436286922989
2020,CZE,8.269534129998297
2020,DEU,68.87714497001183
2020,DNK,1.1660215960698608
2020,EGY,4.112029268758492
2020,ESP,28.20562016999987
2020,FIN,5.339640100250785
2020,FRA,45.65302415068511
2020,GBR,50.24435219712316
2020,GRC,5.106102106188698
2020,HKG,23.61243751323327
2020,HUN,3.327855266594104
2020,IDN,22.20006202075201
2020,IRL,1.1660215960698608
2020,ISR,11.185425064739997
2020,IND,74.55706221962635
2020,IRN,2.3525220064931625
2020,ITA,24.103745014147933
2020,JPN,36.21570186792373
2020,KEN,1.1455427817164194
2020,KOR,28.990549524458892
2020,LKA,11.396582606771092
2020,MEX,8.070912462962971
2020,NGA,8.537881750767253
2020,NLD,25.64575677265215
2020,NOR,5.339640100250785
2020,NPL,0
2020,NZL,1.9064565205541557
2020,PHL,1.1455427817164194
2020,PAK,5.13540417435507
2020,POL,26.953771493307695
2020,PRT,4.484768742499071
2020,ROU,3.2927698200565034
2020,RUS,38.35075075552772
2020,SWE,13.558279126127998
2020,SGP,10.244039877853822
2020,THA,0
2020,TUR,14.76546902919699
2020,TWN,4.517647359232132
2020,UKR,23.228781641803938
2020,USA,100
2020,VNM,6.422829606364735
2021,ARE,0
2021,AFG,0
2021,ALB,0
2021,ARM,0
2021,AGO,0
2021,ARG,44.43060354648073
2021,AUT,32.675429683476786
2021,AUS,53.58366844312793
2021,AZE,0
2021,BIH,0
2021,BGD,59.24200092989002
2021,BEL,31.932045320232866
2021,BGR,25.12206209690813
2021,BHR,0
2021,BEN,0
2021,BOL,0
2021,BRA,79.52409473754336
2021,BLR,19.20043163118013
2021,CAN,69.77317677783554
2021,CHE,47.56565586470715
2021,CIV,0
2021,CHL,11.980678076061361
2021,CMR,0
2021,CHN,74.57241556726208
2021,COL,34.15273714154826
2021,CRI,0
2021,CUB,0
2021,CYP,0
2021,CZE,36.13834126374154
2021,DEU,86.19484873513801
2021,DNK,19.297191967860165
2021,DOM,0
2021,DZA,0
2021,ECU,0
2021,EST,0
2021,EGY,27.648622951201762
2021,ESP,61.257123224160495
2021,ETH,0
2021,FIN,28.971296907997335
2021,FRA,74.73526983332229
2021,GBR,75.11168899047286
2021,GEO,0
2021,GHA,0
2021,GRC,18.57303774027091
2021,GTM,0
2021,HKG,56.60674479358545
2021,HND,0
2021,HRV,0
2021,HUN,26.162214990547756
2021,IDN,55.660713256102966
2021,IRL,26.162214990547756
2021,ISR,40.7750949405601
2021,IND,91.23815325402484
2021,IRQ,0
2021,IRN,24.409849972709765
2021,ITA,53.66901989663846
2021,JAM,0
2021,JOR,0
2021,JPN,67.31951197577489
2021,KEN,37.75451007724689
2021,KGZ,0
2021,KHM,0
2021,KOR,63.581931713428084
2021,KWT,0
2021,KAZ,0
2021,LBN,0
2021,LKA,31.469167325413743
2021,LTU,0
2021,LVA,0
2021,LBY,0
2021,MAR,0
2021,MDA,0
2021,MDG,0
2021,MKD,0
2021,MMR,0
2021,MNG,0
2021,MEX,32.941518303784065
2021,MYS,0
2021,NGA,31.97443634353402
2021,NIC,0
2021,NLD,60.472025180802724
2021,NOR,33.58479219603897
2021,NPL,19.915029413189902
2021,NZL,22.62616041992495
2021,OMN,0
2021,PAN,0
2021,PER,27.324854917402842
2021,PHL,0
2021,PAK,23.09640816948714
2021,POL,59.81564407368126
2021,PRI,0
2021,PSE,0
2021,PRT,32.70440322371838
2021,PRY,0
2021,QAT,0
2021,ROU,28.261854605688995
2021,SRB,0
2021,RUS,70.64204054727625
2021,RWA,0
2021,SAU,0
2021,SDN,0
2021,SWE,46.53181534893238
2021,SGP,41.245014711044355
2021,SVN,0
2021,SVK,0
2021,SEN,0
2021,SOM,0
2021,SLV,0
2021,SYR,0
2021,THA,0
2021,TUN,0
2021,TUR,48.87852623382741
2021,TWN,41.06532686713433
2021,TZA,0
2021,UKR,56.04249979752102
2021,UGA,0
2021,USA,100
2021,URY,0
2021,UZB,0
2021,VEN,0
2021,VNM,24.815557244388103
2021,YEM,0
2021,ZAF,0
2021,ZMB,0
2021,ZWE,0
